编号,序号,代码,名称,涨跌幅,价格,涨跌额,5分钟涨跌额,今开,昨收,最高,最低,成交量,成交额,换手,量比,委比,振幅,市盈率,流通市值,总市值,每股收益,净利润,主营收
382,1783,600616,金枫酒业,-0.0559,8.45,-0.5,-0.0011,8.87,8.95,8.93,8.42,241500,208000000,0.0361,1.19,0.5929,0.057,422.5,5653000000,5653000000,0.02,868700,410000000
383,1784,603010,万盛股份,-0.0567,25.64,-1.54,0.0033,25.9,27.18,26.3,24.77,115900,295000000,0.0336,2.5,-0.2286,0.0563,34.6,8855000000,8887000000,0.74,230000000,1551000000
384,1785,601068,中铝国际,-0.0568,3.49,-0.21,-0.0027,3.67,3.7,3.68,3.47,256700,91400000,0.0867,5.29,0.4595,0.0568,-32.6,1033000000,10320000000,-0.11,-179000000,16370000000
385,1786,688116,天奈科技,-0.0569,65.63,-3.96,-0.0024,69.23,69.59,69.77,65.55,19853,133000000,0.0112,1.29,0.8125,0.0606,168.3,11580000000,15210000000,0.39,76790000,316000000
386,1787,600393,粤泰股份,-0.0583,1.94,-0.12,0.0049,2.04,2.06,2.06,1.91,719900,142000000,0.0728,2.88,0.4235,0.0728,22.4,1917000000,4920000000,0,201000000,2994000000
387,1788,688336,三生国健,-0.0585,21.23,-1.32,0,22.3,22.55,22.3,21.08,21092,45080000,0.0355,5.07,0.552,0.0541,96.5,1263000000,13080000000,0.22,-56890000,586000000
388,1789,688229,博睿数据,-0.0587,123.21,-7.68,-0.0099,130.78,130.89,132.88,123,1960,24830000,0.0194,1.38,0.2716,0.0755,87.4,1245000000,5471000000,1.41,10260000,95010000
389,1790,603535,嘉诚国际,-0.0593,37.25,-2.35,-0.0003,38.91,39.6,38.91,36.8,29681,112000000,0.0197,1.3,0.5443,0.0533,36.9,5602000000,5602000000,1.01,132000000,822000000
390,1791,600684,珠江实业,-0.061,2.77,-0.18,0.0034,2.67,2.95,2.8,2.67,95409,26160000,0.0112,1.37,0.356,0.0441,14.6,2364000000,2364000000,0.19,-13130000,1979000000
391,1792,600584,长电科技,-0.0614,44.47,-2.91,0.0021,47.4,47.38,47.88,44.01,720200,3283000000,0.053,1.78,0.4259,0.0817,68.4,60470000000,71280000000,0.65,764000000,18760000000
392,1793,603698,航天工程,-0.0624,15.03,-1,-0.0075,15.78,16.03,15.78,14.92,189600,290000000,0.0354,0.87,0.366,0.0536,62.6,8056000000,8056000000,0.24,72310000,968000000
393,1794,603798,康普顿,-0.0649,9.94,-0.69,0.0019,9.73,10.63,10.15,9.73,58858,58240000,0.0294,1.41,-0.024,0.0395,22.6,1988000000,1988000000,0.44,89450000,732000000
394,1795,600469,风神股份,-0.0667,5.74,-0.41,0,6.06,6.15,6.07,5.56,345600,201000000,0.0615,2.76,0.4897,0.0829,18.5,3228000000,4197000000,0.31,163000000,4134000000
395,1796,603730,岱美股份,-0.0699,27.94,-2.1,-0.0007,30.75,30.04,30.9,27.91,19630,56440000,0.0034,1.78,-0.0721,0.0995,26.9,16190000000,16190000000,1.04,392000000,2977000000
396,1797,600628,新世界,-0.0717,8.03,-0.62,0.0012,8.05,8.65,8.28,7.98,59577,48250000,0.0092,2.85,0.7446,0.0347,803,5194000000,5194000000,0.01,18890000,720000000
397,1798,603499,翔港科技,-0.0743,9.22,-0.74,0.007,10.3,9.96,10.48,8.96,99003,94630000,0.0494,9.97,0.1341,0.1526,-228.2,1847000000,1864000000,-0.04,7216000,330000000
398,1799,600468,百利电气,-0.0763,4.24,-0.35,0.0022,4.34,4.59,4.4,4.13,262700,111000000,0.0234,2.44,0.316,0.0588,46.3,4757000000,4757000000,0.09,84000000,1535000000
399,1800,603810,丰山集团,-0.0791,27.12,-2.33,0,29.2,29.45,31.2,27.04,51726,149000000,0.0935,3.46,-0.2878,0.1413,20.3,1500000000,3152000000,1.33,180000000,1100000000
400,1801,688155,先惠技术,-0.0822,69.2,-6.2,-0.0029,75,75.4,75,68.82,11079,78690000,0.0644,1.64,-0.7,0.082,38.3,1190000000,5234000000,1.81,31070000,302000000
401,1802,600189,泉阳泉,-0.085,14.32,-1.33,0.0032,14.99,15.65,15.08,14.1,392400,571000000,0.0697,1.69,0.8241,0.0626,-27,8059000000,10240000000,-0.53,76410000,852000000
402,1803,600638,新黄浦,-0.0996,6.96,-0.77,0,7.92,7.73,7.94,6.96,324700,247000000,0.0482,10.51,-1,0.1268,-9.2,4687000000,4687000000,-0.75,83660000,643000000
403,1804,603500,祥和实业,-0.0997,13.09,-1.45,0,13.09,14.54,13.66,13.09,62791,82640000,0.0356,1.63,-1,0.0392,37.4,2309000000,2309000000,0.35,38390000,174000000
404,1805,603970,中农立华,-0.0998,19.66,-2.18,0,21.5,21.84,21.53,19.66,40114,80590000,0.042,2.02,-1,0.0856,29,1878000000,3775000000,0.68,108000000,5183000000
405,1806,603580,艾艾精工,-0.0999,12.07,-1.34,0,12.07,13.41,12.07,12.07,7668,9255000,0.0059,0.36,-1,0,45.8,1577000000,1577000000,0.26,25680000,154000000
406,1807,603317,天味食品,-0.1001,64.67,-7.19,0,64.67,71.86,65.3,64.67,61984,401000000,0.0495,3.44,-1,0.0088,74.8,8098000000,40770000000,0.86,320000000,1525000000
407,1808,600086,退市金钰,-0.1039,0.69,-0.08,0,0.69,0.77,0.69,0.69,45,3105,0,0,-1,0,-0.6,729000000,931000000,-1.17,-657000000,2169000
